Geometric Place Expression,Assessment Activity Date,Disturbance Date Occurred Before,Disturbance Date Occurred On ,Recommendation Type,EAMENA ID,Datum Type,Threat Probability ,Cultural Period Certainty,Site Feature Arrangement Type,Site Feature Number Type,Heritage Place Resource Instance,Assessment Investigator - Actor,GE Imagery Acquisition Date,Disturbance Date From,Disturbance Date To ,Imagery Acquisition Date,Designation To Date,Disturbance Date Occurred On ,Disturbance Date From,Disturbance Date To ,Land Cover Assessment Date,Maximum Depth/Min Elevation,Tidal Range,Detailed Condition Assessments,Threat Cause Type,Depositional Process,Spatial Coordinates Ref System,Disturbance Cause Assignment Assessor Name - Actor,Overall Site Morphology Type,Overall Site Shape Type,Archaeological From Date,Overall Condition State Type,Assessment Activity Type,Disturbance Cause Certainty ,SH Date to,Measurement Source Type ,Disturbance Cause Category Type,Site Feature Interpretation Number Type,Investigator Role Type,Archaeological To Date,Cultural Period Type,Heritage Place Function,Effect Type,Geometry Qualifier,Cultural Sub-period Certainty,Heritage Place Function Certainty ,Datum Description/EPSG code,Address,Address Type,Administrative Division ,Administrative Division Type,Construction Technique,Material Type,Material Class,Measurement Unit,Measurement Number,Site Feature Interpretation Type,Site Feature Form Type Certainty,Site Feature Shape Type,Country Type,Information Resource,Site Feature Interpretation Certainty,Site Feature Form Type,Google Earth Assessment,Effect Certainty,Minimum Depth/Max Elevation,Wave Climate,Heritage Place Type,Land Cover Type,General Description,Geometry Extent Certainty,SH Date From,Related Geoarchaeology/Palaeolandscape,Dimension Type,Date Inference Making Actor Name,Threat Inference Making Assessor Name - Actor,Built Component,Location Certainty,Disturbance Cause Type ,Overall Archaeological Certainty Value ,Grid ID,Cultural Sub-period Type,Threat Category,Fetch Type,Bedrock Geology Type,Surficial Geology Type,Priority Type,Information Resource Acquisition Date,Designation,Resource Name,Topography Type,Damage Extent Type,AH Date To,Designation From Date,General Description Type,Name Type,Resource Orientation,Cadastral Reference,Disturbance Date Occurred Before,Intervention Activity Type,BP Date To,AH Date From,BP Date From,Restricted Access Record Designation,resourceid
"GEOMETRYCOLLECTION (POLYGON ((34.366367 31.448012, 34.365946 31.447675, 34.365431 31.447118, 34.364993 31.446642, 34.365191 31.446562, 34.366109 31.446298, 34.366444 31.446657, 34.366779 31.447052, 34.367216 31.447528, 34.36701 31.447638, 34.366367 31.448012)))","2018-02-26, 2018-02-26",None,None,,EAMENA-0186222,,Probable,"Definite, Definite",Multiple,2 to 5,,"Mohammad Jaradat, Mohammad Jaradat",,2006-01-01,2018-02-26,,,None,2006-01-01,2018-02-26,,,,,Construction,,,None,Positive/Built Feature,Rectangular/Square,,Fair,"Condition Assessment (Image Interpretation), Archaeological Assessment (Image Interpretation)",High,,,Building and Development,"2 to 5, 1","Government Authority/Staff, Government Authority/Staff",,"Islamic (Levant/Arabia), Classical/Pre-Islamic (Levant/Mesopotamia/Iran/Northern Arabia)",Religious,"Loss/Removal of Archaeological Material, Compacting, Water Damage, Collapse/Structural Damage",,"Definite, Definite",Definite,,,,,,,,,,,"Church/Chapel, Monastic Complex",Definite,Rectangular/Square,"Palestine, State of",,"Definite, Definite",Structure,"None, None","High, Medium, Low, High",,,Archaeological Site,,"ab768acd-0d1f-4521-a378-ab3e868b7e08, CPF Palestine Training",Definite,,,,"None, None",,,Definite,Construction,Definite,E34N31-14,"Islamic, Early (Umayyad/Abbasid/Fatimid) (Levant/Arabia), Byzantine (Levant/Mesopotamia)",Building and Development,,,,,,,"(تلة أم عامر (دير القديس هيلاريون, Tell Umm 'Amer, The Monastery of Saint Hilarion, Umm et-Tut",Plain/Plateau,11-30%,,,"Old ArchesID, Comments","Alternative Reference, Toponym, Toponym, Toponym",,None,None,,,,,,d92bd960-69a0-4dba-9047-b6afcbda6cb9
"GEOMETRYCOLLECTION (POLYGON ((35.182807 31.844604, 35.183708 31.843791, 35.184177 31.843498, 35.18529 31.844249, 35.183805 31.84554, 35.182807 31.844604)))","2018-10-24, 2018-10-24","2018-11-17, 2018-11-17, 2018-11-17, 2018-11-17","None, None, None, None",,EAMENA-0186223,,"Probable, Probable, Planned, Planned, Probable","Definite, Definite, Definite, Definite","Discrete, Discrete","Unknown, 1",,"Aya Barakat, Aya Barakat",,"None, None, None, None","None, None, None, None",,,"None, None, None, None","None, None, None, None","None, None, None, None",,,,,"Vegetation/Crops/Trees, Pollution, Grazing/Animal Movement, Ploughing, Land/Rock Slide",,,"None, None, None, None","Negative/Cut/Dug Feature, Surface Feature",Semi-circular,,Fair,"Archaeological Assessment (Image Interpretation), Condition Assessment (Image Interpretation)","Definite, Definite, Definite, Definite",,,"Agricultural/Pastoral, Natural, Natural, Public/Institutional Use","Unknown, Unknown, Unknown, 1","Government Authority/Staff, Government Authority/Staff",,"Classical/Pre-Islamic (Levant/Mesopotamia/Iran/Northern Arabia), Classical/Pre-Islamic (Levant/Mesopotamia/Iran/Northern Arabia), Islamic (Levant/Arabia), Classical/Pre-Islamic (Levant/Mesopotamia/Iran/Northern Arabia)",Agricultural/Pastoral,"Erosion/Deterioration, Collapse/Structural Damage, Chemical Leaching, Erosion/Deterioration, Collapse/Structural Damage, Structural Alteration, Covered, Collapse/Structural Damage, Erosion/Deterioration, Structural Alteration, Artefact Displacement, Loss/Removal of Archaeological Material, Chemical Leaching",,"Definite, Definite, Definite, Definite",Definite,,,,,,,,,,,"Boundary/Barrier, Production/Processing (Agricultural), Field System, Tell","Definite, Definite","Semi-circular, Circular","Palestine, State of",,"High, High, High, High","Wall, Small Mound/Cairn","None, None","Definite, Definite, Definite, Definite, Definite, Definite, Definite, Definite, Definite, Definite, Definite, Definite, Definite",,,Archaeological Site,,"ab8eff83-c8cf-4e7e-9d52-deafd7dbbee0, CPF Palestine Training",Low,,,,"None, None, None, None",,,Definite,"Grazing/Animal Movement, Vegetation/Crops/Trees, Land/Rock Slide, Pollution",Definite,E35N31-33,"Byzantine (Levant/Mesopotamia), Roman Imperial (Levant/Mesopotamia), Islamic, Middle (Fatimid/Ayyubid/Crusader) (Levant/Arabia), Post-Achaemenid/Hellenistic/Seleucid (Levant/Mesopotamia/Iran)","Natural, Public/Institutional Use, Agricultural/Pastoral, Agricultural/Pastoral, Natural",,,,,,,الراس/الجيب,"Slopes, Summit",31-60%,,,"Old ArchesID, Comments",,,None,"2018-11-17, 2018-11-17, 2018-11-17, 2018-11-17",,,,,,77f1e51e-7207-4699-9397-26bb61e8e92e
GEOMETRYCOLLECTION (POINT (35.226367 32.035999)),"2018-10-06, 2018-10-26","None, None","2004-01-01, 2004-01-01",,EAMENA-0186226,,"Possible, Planned","Possible, Definite, Definite, Possible",Linear,Unknown,,"Maram Abu Zreiq, Maram Abu Zreiq, Maram Abu Zreiq",,"None, None","None, None",,,"2004-01-01, 2004-01-01","None, None","None, None",,,,,"Reconstruction, Vegetation/Crops/Trees",,,"None, None",Positive/Built Feature,Irregular,,Fair,"Condition Assessment (Image Interpretation), Archaeological Assessment (Image Interpretation), Archaeological Assessment (Image Interpretation)","Definite, Medium",,,"Natural, Maritime","Unknown, Unknown","Government Authority/Staff, Government Authority/Staff, Government Authority/Staff",,"Classical/Pre-Islamic (Levant/Mesopotamia/Iran/Northern Arabia), Classical/Pre-Islamic (Levant/Mesopotamia/Iran/Northern Arabia), Islamic (Levant/Arabia), Classical/Pre-Islamic (Levant/Mesopotamia/Iran/Northern Arabia)",Domestic,"Covered, Collapse/Structural Damage",,"Possible, Definite, Definite, Possible",Medium,,,,,,,,,,,"House/Dwelling, Circus/Hippodrome",Medium,Irregular,"Palestine, State of",,"Medium, Low",Large Mound,"None, None, None","Definite, Medium",,,Archaeological Site,,"aba6bdd0-3de7-4423-a24a-32cbb0d53aeb, CPF Palestine Training",Definite,,,,"None, None, None, None",,,Definite,"Vegetation/Crops/Trees, Reconstruction",Medium,E35N32-11,"Post-Achaemenid/Hellenistic/Seleucid (Levant/Mesopotamia/Iran), Byzantine (Levant/Mesopotamia), Islamic, Early (Umayyad/Abbasid/Fatimid) (Levant/Arabia), Roman Imperial (Levant/Mesopotamia)","Infrastructure/Transport, Natural",,,,,,,"Kh. Sal'a, خربة السعلة",Slopes,11-30%,,,"Old ArchesID, Comments","Toponym, Toponym",,None,"None, None",,,,,,99abc7d5-dc8a-4f4f-8e8b-2122d90374e3
"GEOMETRYCOLLECTION (POLYGON ((35.005297 31.399572, 35.004681 31.399283, 35.004592 31.399244, 35.005198 31.39883, 35.00585 31.399123, 35.005297 31.399572)))","2018-04-15, 2018-04-15",2018-04-15,None,,EAMENA-0186227,,Probable,Not Applicable,Unknown,1,,"Ibraheem Hawmdeh, Ibraheem Hawmdeh",,None,None,,,None,None,None,,,,,Clearance (Hand),,,None,Negative/Cut/Dug Feature,Irregular,,Poor,"Condition Assessment (Image Interpretation), Archaeological Assessment/Ground Survey",High,,,Archaeological,1,"Government Authority/Staff, Government Authority/Staff",,Unknown,Agricultural/Pastoral,"Erosion/Deterioration, Artefact Displacement, Unknown, Structural Alteration, Relocation of Archaeological Features",,,High,,,,,,,,,,,Production/Processing (Agricultural),Definite,Circular,"Palestine, State of",,Medium,Small Mound/Cairn,"None, None","Low, Low, Medium, High, Definite",,,Archaeological Site,,"abb41caf-7e9d-4468-bc10-e147ac4d27bd, CPF Palestine Training, الموقع منتهك بسبب الاضرار الزراعيه و الرعويه ",Definite,,,,None,,,High,Ploughing,Definite,E35N31-13,,Agricultural/Pastoral,,,,,,,Kh abrronh,Precipice/Edge,11-30%,,,"Old ArchesID, Comments, General Description",Toponym,,None,2018-04-15,,,,,,ef09f84e-5db4-49b1-b07c-65861ca035a3
"GEOMETRYCOLLECTION (POLYGON ((35.323334 32.19531, 35.323289 32.195331, 35.323272 32.195299, 35.323294 32.195277, 35.323334 32.19531)))","2018-02-15, 2018-02-15",2004-12-31,None,,EAMENA-0186228,,Possible,Definite,Isolated,1,,"Basam Nasasrah, Basam Nasasrah",,None,None,,,None,None,None,,,,,Construction,,,None,Positive/Built Feature,Sub-rectangular,,Poor,"Archaeological Assessment (Image Interpretation), Condition Assessment (Image Interpretation)",Medium,,,Unknown,1,"Government Authority/Staff, Government Authority/Staff",,Classical/Pre-Islamic (Levant/Mesopotamia/Iran/Northern Arabia),Defensive/Fortification,Collapse/Structural Damage,,Definite,High,,,,,,,,,,,Watchtower/Observation Post,High,Sub-rectangular,"Palestine, State of",,High,Tower,"None, None",Medium,,,Archaeological Site,,"01a5f74e-ad4e-4b9d-a881-74bce649ca97, CPF Palestine Training",Medium,,,,None,,,Definite,Demolition/Destruction,High,E35N32-12,"Roman Imperial, Late (Levant/Mesopotamia)",Domestic Use,,,,,,,الظهر',Plain/Plateau,61-90%,,,"Old ArchesID, Comments",Toponym,,None,2004-12-31,,,,,,2e84d460-7ac9-491b-aa5d-68c555f94ed2
GEOMETRYCOLLECTION (POINT (35.252429 31.771122)),"2018-08-15, 2018-08-15","None, None","None, None",,EAMENA-0186229,,"Possible, Probable",Possible,Discrete,1,,"Mohammad Jaradat, Mohammad Jaradat",,"2004-01-01, 2004-01-01","2018-01-01, 2018-01-01",,,"None, None","2004-01-01, 2004-01-01","2018-01-01, 2018-01-01",,,,,"Demolition/Destruction, Construction",,,"None, None",Negative/Cut/Dug Feature,Irregular,,Poor,"Archaeological Assessment (Image Interpretation), Condition Assessment (Image Interpretation)","High, High",,,"Public/Institutional Use, Religious Activities",2 to 5,"Government Authority/Staff, Government Authority/Staff",,Classical/Pre-Islamic (Levant/Mesopotamia/Iran/Northern Arabia),Funerary/Memorial,"Covered, Covered, Collapse/Structural Damage",,Possible,High,,,,,,,,,,,Tomb/Grave/Burial,Definite,Irregular,"Palestine, State of",,High,Cave,"None, None","High, High, High",,,Archaeological Site,,"10659203-9363-4aaf-ae73-880edcd385dc, CPF Palestine Training",High,,,,None,,,Definite,"Vegetation/Crops/Trees, Construction",High,E35N31-34,"Roman Imperial, Early (Levant/Mesopotamia)","Building and Development, Religious Activities",,,,,,,"Bethphage (south), el-'Eizariya, العيزرية",Slopes,31-60%,,,"Old ArchesID, Comments","Designation, Toponym, Toponym",,None,"None, None",,,,,,5aa3520e-89b2-43d8-95a8-6303f6bdf93d
GEOMETRYCOLLECTION (POINT (35.435149 31.802872)),"2018-07-04, 2018-07-04","None, None","None, None",,EAMENA-0186230,,"Possible, Possible","Definite, Definite","Concentric, Adjoining","2 to 5, 1",,"Mohammad Jaradat, Mohammad Jaradat",,"2004-01-01, 2007-01-01","2018-01-01, 2018-01-01",,,"None, None","2004-01-01, 2007-01-01","2018-01-01, 2018-01-01",,,,,"Water Action, Clearance (Bulldozing/Levelling)",,,"None, None",Positive/Built Feature,Rectangular/Square,,Fair,"Archaeological Assessment (Image Interpretation), Condition Assessment (Image Interpretation)","High, High",,,"Natural, Military/Armed Conflict","1, 1","Government Authority/Staff, Government Authority/Staff",,"Classical/Pre-Islamic (Levant/Mesopotamia/Iran/Northern Arabia), Classical/Pre-Islamic (Levant/Mesopotamia/Iran/Northern Arabia)",Military,"Erosion/Deterioration, Water Damage, Structural Alteration, Compacting",,"Definite, Definite",Medium,,,,,,,,,,,"Fort/Fortress/Castle, Building","Definite, Definite","Rectangular/Square, Rectangular/Square","Palestine, State of",,"High, High","Structure, Structure","None, None","High, Medium, High, High",,,Archaeological Site,,"abdfbdda-f56c-482e-b27a-9f6408ef93f4, CPF Palestine Training",High,,,,"None, None",,,Definite,"Water Action, Gunfire/Light Weaponry",High,E35N31-34,"Byzantine (Levant/Mesopotamia), Roman Imperial (Levant/Mesopotamia)","Natural, Military/Armed Conflict",,,,,,,"Rujm el-Qibliya, رجم القبلية",Plain/Plateau,11-30%,,,"Old ArchesID, Comments","Toponym, Toponym",,None,"None, None",,,,,,a2ecd68c-fe2c-4774-8a95-8733fbc68b56
"GEOMETRYCOLLECTION (POLYGON ((34.984937 31.532575, 34.984495 31.532086, 34.985302 31.531889, 34.98558 31.532331, 34.984937 31.532575)))",2018-05-26,,,,EAMENA-0186234,,,Not Applicable,,,,Sara Al Shammas,,,,,,,,,,,,,,,,,Unknown,Unknown,,,Archaeological Assessment (Image Interpretation),,,,,,Government Authority/Staff,,Unknown,Unknown,,,,Not Applicable,,,,,,,,,,,,,,"Palestine, State of",,,,None,,,,Archaeological Site,,"acaabf84-67e8-4508-8f2a-ced93e51afd8, CPF Palestine Training",Negligible,,,,None,,,Negligible,,Negligible,E34N31-42,,,,,,,,,Khirbet Hamasa,Plain/Plateau,,,,"Old ArchesID, Comments",Toponym,,None,,,,,,,2a41a1a2-5091-44b3-9146-20195d7c88ed
GEOMETRYCOLLECTION (POINT (35.231132 31.747595)),"2018-06-04, 2018-06-04","None, None","None, None",,EAMENA-0186231,,"Possible, Probable",Definite,Discrete,1,,"Mohammad Jaradat, Mohammad Jaradat",,"2000-01-01, 2000-01-01","2018-01-01, 2018-01-01",,,"None, None","2000-01-01, 2000-01-01","2018-01-01, 2018-01-01",,,,,"Demolition/Destruction, Construction",,,"None, None",Negative/Cut/Dug Feature,Rectangular/Square,,Fair,"Archaeological Assessment (Image Interpretation), Condition Assessment (Image Interpretation)","High, Medium",,,"Infrastructure/Transport, Domestic Use",2 to 5,"Government Authority/Staff, Government Authority/Staff",,Classical/Pre-Islamic (Levant/Mesopotamia/Iran/Northern Arabia),Funerary/Memorial,"Compacting, Covered",,Definite,Definite,,,,,,,,,,,Tomb/Grave/Burial,Definite,Rectangular/Square,"Palestine, State of",,Definite,Cave,"None, None","High, Medium",,,Archaeological Site,,"abe6ca80-8513-4855-bf62-a88de8a48c92, CPF Palestine Training",High,,,,None,,,High,"Road/Track, Vegetation/Crops/Trees",High,E35N31-31,"Roman Imperial, Early (Levant/Mesopotamia)","Building and Development, Building and Development",,,,,,,"East Talpiyot, شرق تلبيوت",Slopes,11-30%,,,"Old ArchesID, Comments","Toponym, Toponym",,None,"None, None",,,,,,7d4a3e6a-8d41-48d9-80cc-09c7c0decad5
GEOMETRYCOLLECTION (POINT (35.354345 32.173599)),"2018-03-16, 2018-03-16",2018-06-15,None,,EAMENA-0186232,,Possible,Possible,Clustered,11 to 20,,"Basam Nasasrah, Basam Nasasrah",,None,None,,,None,None,None,,,,,Excavation (Hand),,,None,Negative/Cut/Dug Feature,Unknown,,Fair,"Archaeological Assessment/Ground Survey, Condition Assessment (Image Interpretation)",High,,,,1,"Government Authority/Staff, Government Authority/Staff",,Bronze Age (Levant),Funerary/Memorial,,,Possible,Definite,,,,,,,,,,,Cemetery,High,Semi-circular,"Palestine, State of",,High,Pit/Shaft/Tunnel,"None, None",,,,Archaeological Site,,"abe7cb7f-b2ee-4df6-a837-a719db3c41d3, CPF Palestine Training",High,,,,None,,,High,Excavation (Hand),High,E35N32-12,Middle Bronze Age (Levant),Funerary/Memorial,,,,,,,[جبيل حادر,Slopes,11-30%,,,"Old ArchesID, Comments",,,None,2018-06-15,,,,,,b3c88651-45d5-4f74-96cd-759c182d898b
"GEOMETRYCOLLECTION (POLYGON ((35.109774 32.285933, 35.109396 32.285926, 35.109179 32.285797, 35.109001 32.285606, 35.109001 32.285395, 35.109082 32.285184, 35.109291 32.285048, 35.109549 32.28498, 35.109774 32.285028, 35.109975 32.28513, 35.110144 32.285273, 35.110217 32.285436, 35.110096 32.285749, 35.109991 32.285851, 35.109774 32.285933)))",2019-09-30,,,,EAMENA-0186236,,,Probable,,,,Moath Jbara,,,,,,,,,,,,,,,,,Positive/Built Feature,Circular,,,Archaeological Assessment (Image Interpretation),,,,,,Government Authority/Staff,,Unknown,Unknown,,,,Medium,,,,,,,,,,,,,,"Palestine, State of",,,,None,,,,Archaeological Site,,"ad3f22dc-9e24-44ee-87ee-79601e897fc5, CPF Palestine Training",High,,,,None,,,High,,High,E35N32-11,,,,,,,,,القرنة',Summit,,,,"Old ArchesID, Comments",Toponym,,None,,,,,,,eff46e18-091a-47da-bceb-c9a6d5fd7ec1
"GEOMETRYCOLLECTION (POLYGON ((35.175732 31.603283, 35.175486 31.603969, 35.174595 31.603973, 35.174842 31.602534, 35.175995 31.602744, 35.175732 31.603283)))","2018-10-10, 2018-10-10",2018-10-11,None,,EAMENA-0186233,,Probable,Possible,Nucleated,6 to 10,,"Abed Assaf, Abed Assaf",,None,None,,,None,None,None,,,,,Clearance (Bulldozing/Levelling),,,None,Surface Feature,Irregular,,Unknown,"Condition Assessment (Image Interpretation), Archaeological Assessment (Image Interpretation)",Medium,,,Archaeological,6 to 10,"Government Authority/Staff, Government Authority/Staff",,Palaeolithic (Iran),Domestic,"Collapse/Structural Damage, Collapse/Structural Damage, Collapse/Structural Damage, Artefact Displacement, Structural Alteration",,,Medium,,,,,,,,,,,Production/Processing (Unclassified),Medium,Semi-circular,"Palestine, State of",,Medium,Large Mound,"None, None","Medium, , Medium, Medium, Medium",,,Archaeological Site,,"ac78e12d-d97c-4c40-99da-b49df2fd9ed4, CPF Palestine Training",Medium,,,,None,,,Medium,Clearance (Hand),Medium,E35N31-31,,Archaeological,,,,,,,شنه',Valley Terrace,Unknown,,,"Old ArchesID, Comments",,,None,2018-10-11,,,,,,4b5d33e3-27b5-4225-bd36-adc75b74e477
"GEOMETRYCOLLECTION (POLYGON ((35.045739 31.950075, 35.04556 31.949874, 35.045568 31.949674, 35.045661 31.949437, 35.045818 31.949122, 35.046061 31.949037, 35.046218 31.949134, 35.046412 31.949856, 35.046476 31.950105, 35.046261 31.950153, 35.045961 31.950129, 35.045739 31.950075)))","2019-02-02, 2019-02-02","2019-02-02, 2019-02-02, 2019-02-02, 2019-02-02, 2019-02-02, 2019-02-02, 2019-02-02, 2019-02-02, 2019-02-02, 2019-02-02, 2019-02-02, 2019-02-02, 2019-02-02, 2019-02-02, 2019-02-02, 2019-02-02, 2019-02-02, 2019-02-02, 2019-02-02","None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None",,EAMENA-0186235,,"Probable, Planned, Planned, Planned, Planned, Probable, Planned, Probable, Probable, Probable, Probable, Planned, Planned, Probable, Planned, Planned, Planned, Planned, Probable, Planned, Planned, Probable",Definite,"Clustered, Dispersed, Discrete, Clustered, Dispersed, Dispersed, Clustered, Clustered","Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown",,"Aya Barakat, Aya Barakat",,"None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None","None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None",,,"None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None","None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None","None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None",,,,,"Maintenance/Management Activities, Pollution, Demolition/Destruction, Road/Track, Mining/Quarrying (Unclassified), Vegetation/Crops/Trees, Excavation (Unclassified), Conservation, Water Action, Temperature/Humidity Change, Grazing/Animal Movement, Vegetation/Crops/Trees, Excavation (Hand), Irrigation (Unclassified), Excavation (Bulldozing/Machinery), Occupation/Continued Use, Structural Robbing, Ploughing, Land/Rock Slide, Construction, Clearance (Bulldozing/Levelling), Wind Action",,,"None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None","Negative/Cut/Dug Feature, Positive/Built Feature, Surface Feature",Irregular,,"Destroyed, Very Bad","Archaeological Assessment (Image Interpretation), Condition Assessment (Image Interpretation)","Low, Low, Medium, Medium, Medium, Medium, Low, Medium, Medium, Medium, Medium, Medium, Medium, Low, Low, Medium, Medium, Medium, Low",,,"Archaeological, Natural, Public/Institutional Use, Utilities, Public/Institutional Use, Natural, Looting/Illegal Activities, Agricultural/Pastoral, Building and Development, Looting/Illegal Activities, Maritime, Public/Institutional Use, Public/Institutional Use, Utilities, Natural, Agricultural/Pastoral, Natural, Domestic Use, Natural","Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown","Government Authority/Staff, Government Authority/Staff",,Islamic (Levant/Arabia),"Public/Institutional, Agricultural/Pastoral, Domestic, Hydrological, Industrial/Productive, Infrastructure/Transport, Defensive/Fortification, Trade/Commercial, Funerary/Memorial, Religious","Collapse/Structural Damage, Chemical Leaching, Erosion/Deterioration, Structural Alteration, Collapse/Structural Damage, Erosion/Deterioration, Structural Alteration, Chemical Leaching, Collapse/Structural Damage, Erosion/Deterioration, Structural Alteration, Artefact Displacement, Loss/Removal of Archaeological Material, Collapse/Structural Damage, Artefact Displacement, Erosion/Deterioration, Structural Alteration, Loss/Removal of Archaeological Material, Collapse/Structural Damage, Erosion/Deterioration, Alteration of Terrain, Artefact Displacement, Loss/Removal of Archaeological Material, Collapse/Structural Damage, Erosion/Deterioration, Chemical Leaching, Structural Alteration, Covered, Collapse/Structural Damage, Erosion/Deterioration, Structural Alteration, Loss/Removal of Archaeological Material, Collapse/Structural Damage, Erosion/Deterioration, Structural Alteration, Chemical Leaching, Loss/Removal of Archaeological Material, Collapse/Structural Damage, Erosion/Deterioration, Alteration of Terrain, Structural Alteration, Loss/Removal of Archaeological Material, Collapse/Structural Damage, Erosion/Deterioration, Structural Alteration, Artefact Displacement, Loss/Removal of Archaeological Material, Collapse/Structural Damage, Erosion/Deterioration, Structural Alteration, Alteration of Terrain, Loss/Removal of Archaeological Material, Collapse/Structural Damage, Erosion/Deterioration, Structural Alteration, Artefact Displacement, Collapse/Structural Damage, Erosion/Deterioration, Structural Alteration, Artefact Displacement, Chemical Leaching, Collapse/Structural Damage, Erosion/Deterioration, Structural Alteration, Alteration of Terrain, Loss/Removal of Archaeological Material, Collapse/Structural Damage, Erosion/Deterioration, Structural Alteration, Collapse/Structural Damage, Chemical Leaching, Erosion/Deterioration, Structural Alteration, Collapse/Structural Damage, Alteration of Terrain, Structural Alteration, Artefact Displacement, Loss/Removal of Archaeological Material, Collapse/Structural Damage, Erosion/Deterioration, Structural Alteration, Relocation of Archaeological Features, Collapse/Structural Damage, Erosion/Deterioration, Structural Alteration, Relocation of Archaeological Features",,Definite,"Medium, Medium, High, Low, Low, Medium, Low, Medium, Medium, Medium",,,,,,,,,,,"Building, Market/Commercial Unit, Flooring/Mosaic/Paving, Road/Track, Cistern, Mill/Quern/Grindstone Element, Production/Processing (Knapping Floor/Stone Processing), Clearance Pile, Production/Processing (Agricultural), House/Dwelling, Tomb/Grave/Burial, Significant Building, Waymarker, Education/Athletics Building, Column/Obelisk, Press/Press Element, Grove/Garden/Orchard, Well, Mosque/Madrasa Complex, Mine/Quarry/Extraction, Reservoir/Birka, Boundary/Barrier, Production/Processing (Unclassified), Field System, Church/Chapel, Canal, Government/Administrative Building, Production/Processing (Pottery), Threshing Floor, Channel","Medium, Medium, Medium, Medium, Medium, Medium, Medium, Medium","Multiple, Multiple, Multiple, Rectangular/Square, Multiple, Multiple, Multiple, Multiple","Palestine, State of",,"Medium, Medium, Low, Medium, Medium, Low, Low, Medium, Medium, Medium, Medium, Medium, Medium, Medium, Low, Medium, Medium, Medium, Medium, Low, Medium, Low, Medium, Medium, Low, Low, Medium, Medium, Low, Low","Pit/Shaft/Tunnel, Rubble Spread/Architectural Fragments, Upright Stone, Structure, Plant/Tree, Depression/Hollow, Cave, Multi-Component","None, None","Low, Low, Low, Low, Low, Low, Low, Low, Medium, Medium, Medium, Medium, Medium, Medium, Medium, Medium, Medium, Medium, Medium, Medium, Medium, Medium, Medium, Medium, Medium, Medium, Medium, Medium, Low, Low, Low, Low, Medium, Medium, Medium, Medium, Medium, Medium, Medium, Medium, Medium, Medium, Medium, Medium, Medium, Medium, Medium, Medium, Medium, Medium, Medium, Medium, Medium, Medium, Medium, Medium, Medium, Medium, Medium, Medium, Medium, Low, Low, Low, Low, Low, Low, Low, Low, Medium, Medium, Definite, Medium, Medium, Medium, Medium, Medium, Medium, Medium, Medium, Medium, Medium, Low, Low, Low, Low",,,Archaeological Site,,"acf65560-b863-4874-a3a0-d876b062f76d, CPF Palestine Training",Low,,,,None,,,High,"Conservation, Temperature/Humidity Change, Occupation/Continued Use, Ploughing, Demolition/Destruction, Vegetation/Crops/Trees, Excavation (Hand), Vegetation/Crops/Trees, Construction, Mining/Quarrying (Unclassified), Road/Track, Dumping, Pollution, Maintenance/Management Activities, Wind Action, Grazing/Animal Movement, Excavation (Bulldozing/Machinery), Land/Rock Slide, Water Action",High,E35N31-33,"Islamic, Late (Ottoman) (Levant/Arabia)","Archaeological, Public/Institutional Use, Public/Institutional Use, Maritime, Utilities, Natural, Utilities, Archaeological, Natural, Natural, Agricultural/Pastoral, Agricultural/Pastoral, Looting/Illegal Activities, Hydraulic Use, Domestic Use, Public/Institutional Use, Looting/Illegal Activities, Utilities, Natural, Building and Development, Domestic Use, Natural",,,,,,,البلدة القديمة/Deir Qaddis,Plain/Plateau,61-90%,,,"Old ArchesID, Comments",Toponym,,None,"2019-02-02, 2019-02-02, 2019-02-02, 2019-02-02, 2019-02-02, 2019-02-02, 2019-02-02, 2019-02-02, 2019-02-02, 2019-02-02, 2019-02-02, 2019-02-02, 2019-02-02, 2019-02-02, 2019-02-02, 2019-02-02, 2019-02-02, 2019-02-02, 2019-02-02",,,,,,55f6659e-e4cf-4333-978b-ed6144b99129
