PRIMARY.NAME,ARCHES.ID,NAME.E41,NAME_TYPE.E55,GEOMETRIC_PLACE_EXPRESSION.SP5,LOCATION_CERTAINTY.I6,HERITAGE_CLASSIFICATION_TYPE.E55,SITE_OVERALL_SHAPE_TYPE.E55,MEASUREMENT_UNIT.E58,MEASUREMENT_NUMBER.E60,DIMENSION_TYPE.E55,MEASUREMENT_SOURCE_TYPE.E55,GRID_ID.E42,TOPOGRAPHY_TYPE.E55,CULTURAL_PERIOD_TYPE.I4,CULTURAL_PERIOD_DETAIL_TYPE.E55,CULTURAL_PERIOD_CERTAINTY.I6,INTERPRETATION_TYPE.I4,INTERPRETATION_CERTAINTY.I6,FUNCTION_TYPE.I4,FUNCTION_CERTAINTY.I6,GENERAL_DESCRIPTION_TYPE.E55,GENERAL_DESCRIPTION.E62,INVESTIGATOR_NAME.E41,INVESTIGATOR_ROLE_TYPE.E55,ASSESSMENT_ACTIVITY_TYPE.E55,ASSESSMENT_ACTIVITY_DATE.E49,HERITAGE_FEATURE_USE_TYPE.E55,DESIGNATION_TYPE.E55,DESIGNATION_FROM_DATE.E61,DESIGNATION_TO_DATE.E61,MODIFICATION_TYPE.E55,MODIFICATION_DATE.E49,MODIFICATION_DESCRIPTION.E62,CONSTRUCTION_TECHNIQUE_TYPE.E55,CONSTRUCTION_NOTE.E62,EFFECT_TYPE.S9,DAMAGE_TREND_TYPE.E55,OVERALL_DAMAGE_SEVERITY_TYPE.E55,RECOMMENDATION_TYPE.E55,INTERVENTION_ACTIVITY_TYPE.E55,PRIORITY_TYPE.E55,VULNERABILITY_TYPE.E55,THREAT_PROBABILITY_TYPE.E55,RISK_EXTENT_TYPE.E55,RISK_SEVERITY_TYPE.E55,RISK_LEVEL.I4,RISK_LEVEL_CERTAINTY.I6,MITIGATION_STRATEGY_TYPE.E55,MITIGATION_PRIORITY_TYPE.E55,OVERALL_CONDITION_TYPE.E55,OVERALL_PRIORITY_TYPE.E55,NEXT_ASSESSMENT_DATE_TYPE.E55,OVERALL_CONDITION_REMARKS_TYPE.E55,CULTURAL_PERIOD_TYPE.I4,CULTURAL_PERIOD_DETAIL_TYPE.E55,CULTURAL_PERIOD_CERTAINTY.I6,ARCHAEOLOGICAL_FROM_DATE.E61,FUNCTION_TYPE.I4,FUNCTION_CERTAINTY.I6,INTERPRETATION_TYPE.I4,INTERPRETATION_CERTAINTY.I6,DATE_INTERPRETATION_INFERENCE_MAKING_ACTOR_NAME.E41,MEASUREMENT_NUMBER.E60,MEASUREMENT_UNIT.E58,DIMENSION_TYPE.E55,MEASUREMENT_SOURCE_TYPE.E55,GRID_ID.E42,SITE_OVERALL_SHAPE_TYPE.E55,TOPOGRAPHY_TYPE.E55,COUNTRY_TYPE.E55,HERITAGE_FEATURE_USE_TYPE.E55,DESIGNATION_TYPE.E55,DESIGNATION_FROM_DATE.E61,DESIGNATION_TO_DATE.E61,GENERAL_DESCRIPTION_TYPE.E55,GENERAL_DESCRIPTION.E62,HERITAGE_CLASSIFICATION_TYPE.E55
EAMENA-F-0000079,a2ce3373-f6cc-44e1-867d-3a87bc827d97,School,Toponym,"{u'type': u'Point', u'coordinates': [35.372778203837335, 32.35500275915162]}",Low,Individual Feature; Individual Feature,,,,,,,,,,,,,,,,,Sufyan,Government Authority/Staff,Desk-based Assessment,2019-11-18,Occupied / In Use; Occupied / In Use,,,,,,,,,,,,,,,,,,,,,,,Good,Within 2 to 5 Years  ,,Priority Assignment Remarks,,,,,,,,,,,,,,,,,,Occupied / In Use; Occupied / In Use,,,,,,Individual Feature; Individual Feature
EAMENA-F-0000080,befd77f3-0585-424e-8e80-a52766887815,معصرة,Toponym,"{u'type': u'Point', u'coordinates': [35.05562372353627, 31.947295578687772]}",,Individual Feature; Individual Feature,,,,,,,,,,,,,,,,,aya barakat,Government Authority/Staff,Condition Assessment,2019-11-18,Unknown; Unknown,,,,,,,,,,,,,,,,,,,,,,,Poor,Unknown,,,,,,,,,,,,,,,,,,,,Unknown; Unknown,,,,,,Individual Feature; Individual Feature
EAMENA-F-0000081,2b67d973-b5ab-4d5f-9c6b-648daacf9f08,خربة حنونة,Toponym,"{u'type': u'Point', u'coordinates': [35.02799686150663, 31.989997971432857]}",,Individual Feature; Individual Feature,,,,,,,,,,,,,,,,,مرام ابو زريق,Government Authority/Staff,Condition Assessment (Image Interpretation),2019-11-18,Vacant / Not in use; Vacant / Not in use,,,,,,,,,,,,,,,,,,,,,,,Fair,Unknown,,,,,,,,,,,,,,,,,,,,Vacant / Not in use; Vacant / Not in use,,,,,,Individual Feature; Individual Feature
EAMENA-F-0000082,8817e2c2-d0ed-4e43-9ade-6c6166651b97,kherbet al twane,Alternative Reference,"{u'type': u'Point', u'coordinates': [35.15304308817876, 31.412997828040886]}",,Group of Features; Group of Features,,,,,,,,,,,,,,,,,ibrahim hawamdeh,Government Authority/Staff,Archaeological Assessment (Image Interpretation),2019-11-18,Occupied / In Use; Occupied / In Use,,,,,,,,,,,,,,,,,,,,,,,Fair,Beyond 5 Years ,,,,,,,,,,,,,,,,,,,,Occupied / In Use; Occupied / In Use,,,,,,Group of Features; Group of Features
EAMENA-F-0000083,0ad34b78-3348-4f8d-b8a4-85a560c04970,بيت قديم,Toponym,"{u'type': u'Point', u'coordinates': [35.090009627957464, 32.103744748155336]}",,Individual Feature; Individual Feature,,,,,,,,,,,,,,,,,مرام ابو زريق,Government Authority/Staff,Condition Assessment (Image Interpretation),2019-11-18,Occupied / In Use; Occupied / In Use,,,,,,,,,,,,,,,,,,,,,,,Fair,Unknown,,,,,,,,,,,,,,,,,,,,Occupied / In Use; Occupied / In Use,,,,,,Individual Feature; Individual Feature
EAMENA-F-0000084,06698831-1658-4db2-90de-b5714808570f,,,"{u'type': u'Point', u'coordinates': [35.127787894392, 32.04592174805855]}",Low,Individual Feature; Individual Feature,,,,,,,,,,,,,,,,,Mais Sartawi,Government Authority/Staff,Desk-based Assessment,2019-11-18,Unknown; Unknown,,,,,,,,,,,,,,,,,,,,,,,Poor,Unknown,,,,,,,,,,,,,,,,,,,,Unknown; Unknown,,,,,,Individual Feature; Individual Feature
EAMENA-F-0000085,755e2fd9-7c84-4e08-a052-a5e214068733,Building ,Designation,"{u'type': u'Point', u'coordinates': [35.31660141374003, 32.383875825672106]}",Low,Individual Feature; Individual Feature,,,,,,,,,,,,,,,,,Sufyan,Government Authority/Staff,Desk-based Assessment,2019-11-18,Partly Occupied / Partly in use; Partly Occupied / Partly in use,,,,,,,,,,,,,,,,,,,,,,,Fair,Within 1 to 2 Years  ,,Priority Assignment Remarks,,,,,,,,,,,,,,,,,,Partly Occupied / Partly in use; Partly Occupied / Partly in use,,,,,,Individual Feature; Individual Feature
EAMENA-F-0000086,36f7613b-e45c-4e3e-810c-4741eaf36308,مقام ,Toponym,"{u'type': u'Point', u'coordinates': [35.2444223404399, 31.971947092266475]}",Low,Individual Feature; Individual Feature,,,,,,,,,,,,,,,,,ayoub hussen ,Government Authority/Staff,Archaeological Assessment (Image Interpretation),2019-11-18,Partly Occupied / Partly in use; Partly Occupied / Partly in use,,,,,,,,,,,,,,,,,,,,,,,Fair,Unknown,,Risk and Damage Notes and Comments ,,,,,,,,,,,,,,,,,,Partly Occupied / Partly in use; Partly Occupied / Partly in use,,,,,,Individual Feature; Individual Feature
EAMENA-F-0000087,ab7c4c10-cbbd-4983-8ebe-55eb6b3b543e,kherbet al wabdeh,Alternative Reference,"{u'type': u'Polygon', u'coordinates': [[[35.151270899940165, 31.463226771632705], [35.15152410037294, 31.463409800104586], [35.15179661290708, 31.463126105820677], [35.15157130734983, 31.463019948903252], [35.151270899940165, 31.463226771632705]]]}",Low,Group of Features; Group of Features,,,,,,,,,,,,,,,,,ibrahim hawamdeh,Government Authority/Staff,Archaeological Assessment (Image Interpretation),2019-11-18,Occupied / In Use; Occupied / In Use,,,,,,,,,,,,,,,,,,,,,,,Fair,Within 2 to 5 Years  ,,,,,,,,,,,,,,,,,,,,Occupied / In Use; Occupied / In Use,,,,,,Group of Features; Group of Features
EAMENA-F-0000088,a6aaeb44-c5e2-4588-8b89-b16f172ffd6c,معصرة,Toponym,"{u'type': u'Point', u'coordinates': [35.092506044005454, 31.959980052774668]}",,Individual Feature; Individual Feature,,,,,,,,,,,,,,,,,aya barakat,Government Authority/Staff,Condition Assessment,2019-11-18,Unknown; Unknown,,,,,,,,,,,,,,,,,,,,,,,Poor,Unknown,,,,,,,,,,,,,,,,,,,,Unknown; Unknown,,,,,,Individual Feature; Individual Feature
EAMENA-F-0000089,5a262f43-4e60-4025-b530-f29a1cc140cc,,,"{u'type': u'Point', u'coordinates': [35.1274821225643, 32.04567393596986]}",Negligible,Individual Feature; Individual Feature,,,,,,,,,,,,,,,,,Mais sartawi,Government Authority/Staff,Desk-based Assessment,2019-11-18,Unknown; Unknown,,,,,,,,,,,,,,,,,,,,,,,Poor,Unknown,,,,,,,,,,,,,,,,,,,,Unknown; Unknown,,,,,,Individual Feature; Individual Feature
EAMENA-F-0000090,1bfe9964-49c3-4931-8080-52b958eb9763,بيت,Toponym,"{u'type': u'Point', u'coordinates': [35.20207221562213, 32.03657891581129]}",,Individual Feature; Individual Feature,,,,,,,,,,,,,,,,,مرام ابو زريق,Government Authority/Staff,Condition Assessment (Image Interpretation),2019-11-18,Unknown; Unknown,,,,,,,,,,,,,,,,,,,,,,,Fair,Unknown,,,,,,,,,,,,,,,,,,,,Unknown; Unknown,,,,,,Individual Feature; Individual Feature
EAMENA-F-0000091,14850712-dc64-4fa1-90cf-3c71846a36dc,AlHasa Castle,Toponym,"{u'type': u'Point', u'coordinates': [35.933652473789444, 30.839269018681875]}; {u'type': u'Point', u'coordinates': [35.93427474628089, 30.83893739125871]}",High,Individual Feature; Individual Feature,,,,,,,,,,,,,,,,,Ahmad Marafi,Government Authority/Staff,Archaeological Assessment/Ground Survey,2019-01-05,Partly Occupied / Partly in use; Partly Occupied / Partly in use,,,,,,,,,,,,,,,,,,,,,,,Fair,Immediate Actions,,,,,,,,,,,,,,,,,,,,Partly Occupied / Partly in use; Partly Occupied / Partly in use,,,,,,Individual Feature; Individual Feature
EAMENA-F-0000092,89e4e919-9806-435d-a97a-b3909683779f,مسجد بيت  جفا,Toponym,"{u'type': u'Point', u'coordinates': [35.06363269869294, 32.207480200930874]}",High,Individual Feature; Individual Feature,,,,,,,,,,,,,,,,,Anas Hammad,Government Authority/Staff,Condition Assessment (Image Interpretation),2019-11-19T00:00:00,Vacant / Not in use; Vacant / Not in use,,,,,,,,,Collapse/Structural Damage,Disturbance Increasing,Moderate Damage,Removal of Vegetation,"Conservation, Restoration, and Maintenance Activities",High (Within 1 to 2 years),Lack of Access to the Site,Probable,31-60%,3 - Major,High,5 - Certain,Restoration,High (Within 1 to 2 years),Poor,Immediate Actions,Every 6 Months,,,,,,,,,,,,,,,,,,,Vacant / Not in use; Vacant / Not in use,,,,,,Individual Feature; Individual Feature
EAMENA-F-0000093,7b694e01-5f97-47e5-9ae2-a54c58fce43a,خربة عرارة,Toponym,,,Individual Feature; Individual Feature,,,,,,,,,,,,,,,,,Maram Abu Zreiq,Non-Governmental Organisation (NGO),Condition Assessment (Image Interpretation),2019-11-19,Vacant / Not in use; Vacant / Not in use,,,,,,,,,,,,,,,,,,,,,,,Fair,Within 1 to 2 Years  ,,,,,,,,,,,,,,,,,,,,Vacant / Not in use; Vacant / Not in use,,,,,,Individual Feature; Individual Feature
EAMENA-F-0000094,192c1ce0-250e-44ee-a7c6-58c4ce2f8ec6,بيت 5,Toponym,"{u'type': u'Point', u'coordinates': [35.93192942028291, 31.948499625272547]}; {u'type': u'Point', u'coordinates': [35.93210477581797, 31.94860489703146]}",Definite,Individual Feature; Individual Feature,,,,,,,,,,,,,,,,, Maram Abu Zreiq Aya Barakat Mais Sartawi,Government Authority/Staff,Desk-based Assessment,2019-11-19T00:00:00,Vacant / Not in use; Vacant / Not in use,,,,,,,,,,,Moderate Damage,Repointing,"Conservation, Restoration, and Maintenance Activities",High (Within 1 to 2 years),,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,Vacant / Not in use; Vacant / Not in use,,,,,,Individual Feature; Individual Feature
EAMENA-F-0000095,692e2936-7703-4c12-88a7-585db27d801e,Heritage House 4,Designation,"{u'type': u'Point', u'coordinates': [35.93168433983762, 31.9483712226871]}",,Group of Features; Group of Features,Rectangular/Square,,,,,,Summit,Contemporary Islamic (MENA),Second World War (MENA),Probable,House/Dwelling,Definite,Domestic,Definite,Comments,Heritage House is still in use,"Mohammad, Anas, Mu'ath",Government Authority/Staff,Condition Assessment (Image Interpretation),2019-11-19T00:00:00,Vacant / Not in use; Vacant / Not in use,Local Register; Local Register,2019-11-20T00:00:00; 2019-11-20T00:00:00,2019-11-21T00:00:00; 2019-11-21T00:00:00,Altered/Modified,2019-11-20T00:00:00,New room,Masonry (Mortared),Concrete room; Concrete room,Compacting,Stable,Slight Damage ,Architectural/Measured Survey; Management Planning and Preventative Activity; Photographic Survey; Removal of Vegetation,"Conservation, Restoration, and Maintenance Activities; Emergency Actions; Preventative and Mitigation Activities; Preventative and Mitigation Activities",High (Within 1 to 2 years); Medium (Within 2 to 5 years); Urgent (Within 6 months to 1 year); Urgent (Within 6 months to 1 year),Construction Material; Lack of Regular Monitoring,Possible; Probable,1-10%; 1-10%,2 - Moderate; 2 - Moderate,Medium; Medium,2 - Possible; 4 - Probable,Architectural/Measured Survey; Maintenance Policy and Programs,High (Within 1 to 2 years); High (Within 1 to 2 years),Fair,Within 1 to 2 Years  ,Every Year,Priority Assignment Remarks,Contemporary Islamic (MENA),Second World War (MENA),Probable,2019-11-20T00:00:00,Domestic,Definite,House/Dwelling,Definite,Mohammad Jaradat,,,,,,Rectangular/Square,Summit,Jordan,Vacant / Not in use; Vacant / Not in use,Local Register; Local Register,2019-11-20T00:00:00; 2019-11-20T00:00:00,2019-11-21T00:00:00; 2019-11-21T00:00:00,Comments,Heritage House is still in use,Group of Features; Group of Features
EAMENA-F-0000096,4c16e604-8df6-42dc-a022-68c944fa40b3,Heritage house 7,Toponym,"{u'type': u'Point', u'coordinates': [35.93256938390582, 31.948302776460423]}; {u'type': u'Point', u'coordinates': [35.93547421626895, 31.948330087541862]}",Definite,Individual Feature; Individual Feature,,,,,,,,,,,,,,,,,"Sufyan, Bassam",Government Authority/Staff,Desk-based Assessment,2019-11-19T00:00:00,Occupied / In Use; Occupied / In Use,,,,,,,,,Collapse/Structural Damage,Disturbance Increasing,Moderate Damage,Archaeological/Heritage Activity,"Conservation, Restoration, and Maintenance Activities",High (Within 1 to 2 years),Construction Material,Probable,1-10%,1 - Slight,Low,5 - Certain,Development of Conservation and Management Plan,Medium (Within 2 to 5 years),Fair,Within 1 to 2 Years  ,,Overall Condition Additional Remarks,,,,,,,,,,,,,,,,,,Occupied / In Use; Occupied / In Use,,,,,,Individual Feature; Individual Feature
EAMENA-F-0000097,6471118d-35f7-439c-8f61-d353be9c8c78,بيت6,Toponym,"{u'type': u'Polygon', u'coordinates': [[[35.93184996596155, 31.948652691261486], [35.931961505449806, 31.948665941390146], [35.932118186863036, 31.94868455406771], [35.93213696232614, 31.948525239926155], [35.93182850828943, 31.948502480740515], [35.93175340643701, 31.948511584415456], [35.93173731318292, 31.94859351744921], [35.931799003990264, 31.94863448393869], [35.93184996596155, 31.948652691261486]]]}",Definite,Individual Feature; Individual Feature,Rectangular/Square,,,,,,Slopes,,,,,,,,,,Maram Abu Zreiq Aya Barakat Mais Sartawi,Government Authority/Staff,Desk-based Assessment,2019-11-19T00:00:00,Vacant / Not in use; Vacant / Not in use,,,,,,,,,Access Restriction; Covered,Disturbance Increasing; Disturbance Increasing,Moderate Damage; Moderate Damage,Conservation Activity; Repointing,"Conservation, Restoration, and Maintenance Activities; Conservation, Restoration, and Maintenance Activities",High (Within 1 to 2 years); Medium (Within 2 to 5 years),,,,,,,Conservation Activity,Medium (Within 2 to 5 years),Poor,Unknown; Within 2 to 5 Years  ,Every Year,,,,,,,,,,,,,,,,Rectangular/Square,Slopes,Jordan,Vacant / Not in use; Vacant / Not in use,,,,,,Individual Feature; Individual Feature
EAMENA-F-0000098,676a3d68-390c-414c-b3bd-8be3781d84d8,heritage house 8,Alternative Reference,"{u'type': u'Point', u'coordinates': [35.932002177190405, 31.947668587836617]}",Low,Individual Feature; Individual Feature,,,,,,,,,,,,,,,,,house ibrahim ,Government Authority/Staff,Desk-based Assessment,2019-11-19T00:00:00,Unknown; Unknown,,,,,,,,,Collapse/Structural Damage,Disturbance Increasing,Moderate Damage,Archaeological/Heritage Activity,"Conservation, Restoration, and Maintenance Activities",Medium (Within 2 to 5 years),,,,,,,,,Fair,Within 2 to 5 Years  ,,Overall Condition Additional Remarks,,,,,,,,,,,,,,,,,,Unknown; Unknown,,,,,,Individual Feature; Individual Feature
EAMENA-F-0000099,0f648178-55ff-48ac-a8a1-971544a1d637,heritage house 1,Toponym,"{u'type': u'Point', u'coordinates': [35.93142359019914, 31.949324414262833]}",,Group of Features; Group of Features,,,,,,,,Contemporary Islamic (MENA),"Contemporary Islamic, Early 20th century (MENA)",Probable,House/Dwelling,High,Domestic,Definite,,,"eman,mohammad,ayoub,nour",Government Authority/Staff,Condition Assessment,2019-11-21T00:00:00,Vacant / Not in use; Vacant / Not in use,,,,Cleared,2019-11-21T00:00:00,,,,Artefact Displacement; Collapse/Structural Damage; Collapse/Structural Damage; Loss/Removal of Archaeological Material; Relocation of Archaeological Features,Disturbance Increasing; Disturbance Increasing; Stable,Moderate Damage,Removal of Vegetation,"Conservation, Restoration, and Maintenance Activities",High (Within 1 to 2 years),,,,,,,Removal of Vegetation; Surface Cleaning,High (Within 1 to 2 years); Urgent (Within 6 months to 1 year ),Good,Within 6 Months to a Year ,Every Other Year,,Contemporary Islamic (MENA),"Contemporary Islamic, Early 20th century (MENA)",Probable,,Domestic,Definite,House/Dwelling,High,"Eman,Tuhimer,Ayoub,Noor",,,,,,,,,Vacant / Not in use; Vacant / Not in use,,,,,,Group of Features; Group of Features
EAMENA-F-0000100,0e02b112-398e-448c-b41f-f0f6fc340da9,Heritage House 9 (Cafe),Designation,"{u'type': u'Point', u'coordinates': [35.93137055389761, 31.948049617239434]}",,Group of Features; Group of Features,,,,,,,,,,,,,,,,,"Mohammad, Anas, Mu'ath",Government Authority/Staff,Condition Assessment (Image Interpretation),2019-11-19,Occupied / In Use; Occupied / In Use,,,,,,,,,,,,,,,,,,,,,,,Good,Within 2 to 5 Years  ,,,,,,,,,,,,,,,,,,,,Occupied / In Use; Occupied / In Use,,,,,,Group of Features; Group of Features
EAMENA-F-0000101,06cd30d5-003d-4c9a-b859-07f107ea5a90,تل كفر بيتا,Toponym,"{u'type': u'Point', u'coordinates': [35.32573233248367, 32.18981033153122]}",Definite,Group of Features; Group of Features,Semi-circular,,,,,E35N32-12,Slopes,Unknown,Roman/Byzantine (Levant/Mesopotamia),Definite,House/Dwelling,High,Domestic,High,,,Basam Nasasrah,Government Authority/Staff,Condition Assessment,2019-11-22T00:00:00,Vacant / Not in use; Vacant / Not in use,Local Register; Local Register,2019-11-22T00:00:00; 2019-11-22T00:00:00,2019-11-22T00:00:00; 2019-11-22T00:00:00,,,,,,Structural Alteration,Disturbance Increasing,Moderate Damage,Designation/Registration; Intervene with Governmental Authorities; Surface Cleaning,Preventative and Mitigation Activities; Preventative and Mitigation Activities; Preventative and Mitigation Activities,Medium (Within 2 to 5 years); Medium (Within 2 to 5 years); Medium (Within 2 to 5 years),Lack of Management/Legal Measures and Activities ,Probable,31-60%,2 - Moderate,Medium,3 - Likely,Intervene with Governmental Authorities,Medium (Within 2 to 5 years),Poor,Within 2 to 5 Years  ,Every Year,,Unknown,Roman/Byzantine (Levant/Mesopotamia),Definite,2019-11-22T00:00:00,Domestic,High,House/Dwelling,High,Basam  Nasasrah,,,,,E35N32-12,Semi-circular,Slopes,"Palestine, State of",Vacant / Not in use; Vacant / Not in use,Local Register; Local Register,2019-11-22T00:00:00; 2019-11-22T00:00:00,2019-11-22T00:00:00; 2019-11-22T00:00:00,,,Group of Features; Group of Features
EAMENA-F-0000102,ecee7456-b868-4024-9630-3fadfabb01f5,خربة الشراربة,Toponym,"{u'type': u'Point', u'coordinates': [35.32488093011168, 32.16992883637732]}",Definite,Group of Features; Group of Features,Semi-circular,,,,,E35N32-12,Slopes,Unknown,Roman Imperial (Levant/Mesopotamia),Definite,House/Dwelling,High,Domestic,Definite,,,Basam Nasasrah,Government Authority/Staff,Condition Assessment,2019-11-22T00:00:00,Vacant / Not in use; Vacant / Not in use,Local Register; Local Register,2019-11-22T00:00:00; 2019-11-22T00:00:00,2019-11-22T00:00:00; 2019-11-22T00:00:00,,,,,,Alteration of Terrain,Disturbance Increasing,Slight Damage ,Impact Assessment; In-depth Condition Assessment; Intervene with Governmental Authorities; Surface Cleaning,Preventative and Mitigation Activities; Preventative and Mitigation Activities; Preventative and Mitigation Activities; Preventative and Mitigation Activities,Low (Beyond 5 years); Low (Beyond 5 years); Medium (Within 2 to 5 years); Medium (Within 2 to 5 years),Lack of Management/Legal Measures and Activities ,Probable,11-30%,2 - Moderate,Medium,3 - Likely,Archaeological Monitoring; Archaeological Survey; Field Observation; Intervene with Governmental Authorities; Removal of Vegetation; Surface Cleaning,Low (Beyond 5 years); Low (Beyond 5 years); Low (Beyond 5 years); Medium (Within 2 to 5 years); Medium (Within 2 to 5 years); Medium (Within 2 to 5 years),Fair,Beyond 5 Years ,Every Other Year,,Unknown,Roman Imperial (Levant/Mesopotamia),Definite,2019-11-22T00:00:00,Domestic,Definite,House/Dwelling,High,Basam  Nasasrah,,,,,E35N32-12,Semi-circular,Slopes,"Palestine, State of",Vacant / Not in use; Vacant / Not in use,Local Register; Local Register,2019-11-22T00:00:00; 2019-11-22T00:00:00,2019-11-22T00:00:00; 2019-11-22T00:00:00,,,Group of Features; Group of Features
EAMENA-F-0000103,5042ff45-859f-4ec6-9305-676f241db91d,Basam Nasasrah,Toponym,"{u'type': u'Point', u'coordinates': [35.31041234015683, 32.14040690987956]}",Definite,,Semi-circular,,,,,E35N32-12,Summit,Islamic,Contemporary Islamic (MENA),Definite,House/Dwelling,High,Domestic,Definite,,,Basam Nasasrah,Government Authority/Staff,Condition Assessment,2019-11-22T00:00:00,Vacant / Not in use; Vacant / Not in use,Local Register; Local Register,2019-11-22T00:00:00; 2019-11-22T00:00:00,2019-11-22T00:00:00; 2019-11-22T00:00:00,,,,,,Alteration of Terrain,Disturbance Increasing,Moderate Damage,Archaeological Monitoring; Archaeological Survey; In-depth Condition Assessment; Removal of Vegetation; Surface Cleaning,Preventative and Mitigation Activities; Preventative and Mitigation Activities; Preventative and Mitigation Activities; Preventative and Mitigation Activities; Preventative and Mitigation Activities,Medium (Within 2 to 5 years); Medium (Within 2 to 5 years); Medium (Within 2 to 5 years); Medium (Within 2 to 5 years); Medium (Within 2 to 5 years),,,,,,,Archaeological Monitoring; Field Observation; Impact Assessment; In-depth Condition Assessment; Intervene with Governmental Authorities; Removal of Vegetation; Surface Cleaning; Topographic Survey,Low (Beyond 5 years); Low (Beyond 5 years); Low (Beyond 5 years); Low (Beyond 5 years); Low (Beyond 5 years); Low (Beyond 5 years); Low (Beyond 5 years); Low (Beyond 5 years),Fair,Beyond 5 Years ,Every Other Year,,Islamic,Contemporary Islamic (MENA),Definite,2019-11-22T00:00:00,Domestic,Definite,House/Dwelling,High,Basam  Nasasrah,,,,,E35N32-12,Semi-circular,Summit,"Palestine, State of",Vacant / Not in use; Vacant / Not in use,Local Register; Local Register,2019-11-22T00:00:00; 2019-11-22T00:00:00,2019-11-22T00:00:00; 2019-11-22T00:00:00,,,
EAMENA-F-0000104,3e2dbc19-184a-48cd-b39f-15af3792d2a5,Basam Nasasrah,Toponym,"{u'type': u'Point', u'coordinates': [35.33617062416144, 32.17665304285778]}",Definite,,Semi-circular,,,,,E35N32-12,Slopes,Islamic,"Islamic, Late (Ottoman) (Levant/Arabia)",Definite,House/Dwelling,High,Domestic,Definite,,,Basam Nasasrah,Government Authority/Staff,Condition Assessment,2019-11-22T00:00:00,Partly Occupied / Partly in use; Partly Occupied / Partly in use,Local Register; Local Register,2019-11-22T00:00:00; 2019-11-22T00:00:00,2019-11-22T00:00:00; 2019-11-22T00:00:00,,,,,,Structural Alteration; Water Damage,Stable; Stable,Slight Damage ,Architectural/Measured Survey; Impact Assessment; Maintenance Policy and Programs; Removal of Vegetation; Renewal of Protective Coating; Repointing; Shoring,Preventative and Mitigation Activities; Preventative and Mitigation Activities; Preventative and Mitigation Activities; Preventative and Mitigation Activities; Preventative and Mitigation Activities; Preventative and Mitigation Activities; Preventative and Mitigation Activities,Low (Beyond 5 years); Low (Beyond 5 years); Low (Beyond 5 years); Low (Beyond 5 years); Low (Beyond 5 years); Low (Beyond 5 years); Medium (Within 2 to 5 years),Lack of Management/Legal Measures and Activities ,Probable,11-30%,2 - Moderate,Medium,3 - Likely,Architectural/Measured Survey; In-depth Condition Assessment; Removal of Vegetation; Renewal of Protective Coating; Surface Cleaning,Low (Beyond 5 years); Low (Beyond 5 years); Medium (Within 2 to 5 years); Medium (Within 2 to 5 years); Medium (Within 2 to 5 years),,Within 1 to 2 Years  ,Every Year,,Islamic,"Islamic, Late (Ottoman) (Levant/Arabia)",Definite,2019-11-22T00:00:00,Domestic,Definite,House/Dwelling,High,Basam  Nasasrah,,,,,E35N32-12,Semi-circular,Slopes,"Palestine, State of",Partly Occupied / Partly in use; Partly Occupied / Partly in use,Local Register; Local Register,2019-11-22T00:00:00; 2019-11-22T00:00:00,2019-11-22T00:00:00; 2019-11-22T00:00:00,,,
EAMENA-F-0000105,45b86532-7677-4af6-a39b-41164e662340,خربة طانا التحتا,Toponym,"{u'type': u'Point', u'coordinates': [35.39469052697135, 32.15242906023789]}",Definite,,Semi-circular,,,,,E35N32-12,Summit,Bronze Age (Levant),Early Bronze Age (Southern Levant),Definite,House/Dwelling,High,Domestic,Definite,,,Basam Nasasrah,Government Authority/Staff,Condition Assessment,2019-11-22T00:00:00,Vacant / Not in use; Vacant / Not in use,Local Register; Local Register,2019-11-22T00:00:00; 2019-11-22T00:00:00,2019-11-22T00:00:00; 2019-11-22T00:00:00,,,,,,Structural Alteration,Disturbance Increasing,Moderate Damage,Archaeological Monitoring; Archaeological Survey; Field Observation; In-depth Condition Assessment; Intervene with Governmental Authorities; Removal of Vegetation; Surface Cleaning,Preventative and Mitigation Activities; Preventative and Mitigation Activities; Preventative and Mitigation Activities; Preventative and Mitigation Activities; Preventative and Mitigation Activities; Preventative and Mitigation Activities; Preventative and Mitigation Activities,Low (Beyond 5 years); Low (Beyond 5 years); Low (Beyond 5 years); Low (Beyond 5 years); Low (Beyond 5 years); Low (Beyond 5 years); Medium (Within 2 to 5 years),Lack of Management/Legal Measures and Activities ,Probable,31-60%,2 - Moderate,Medium,2 - Possible,Archaeological Monitoring; Archaeological Survey; Fencing/Enclosing; Field Observation; Impact Assessment; Removal of Vegetation; Surface Cleaning,Low (Beyond 5 years); Low (Beyond 5 years); Low (Beyond 5 years); Low (Beyond 5 years); Medium (Within 2 to 5 years); Medium (Within 2 to 5 years); Medium (Within 2 to 5 years),Poor,Within 2 to 5 Years  ,Every Year,,Bronze Age (Levant),Early Bronze Age (Southern Levant),Definite,2019-11-22T00:00:00,Domestic,Definite,House/Dwelling,High,Basam  Nasasrah,,,,,E35N32-12,Semi-circular,Summit,"Palestine, State of",Vacant / Not in use; Vacant / Not in use,Local Register; Local Register,2019-11-22T00:00:00; 2019-11-22T00:00:00,2019-11-22T00:00:00; 2019-11-22T00:00:00,,,
